Feature,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Total_Importance
BCI_mean,0.005399739,0.5262419,0.0069897478,0.81233484,0.0055873357,0.01721738,1.373771
NBR_stdDev,0.00079231255,0.0,0.79594994,0.0,0.0,0.018593777,0.81533605
SWIR2_p10,0.0,0.00857379,0.008028866,0.0042621964,0.028860644,0.46153954,0.51126504
BLFEI_mean,0.00057873694,0.14047097,0.08400185,0.25433382,0.0,0.030884283,0.51026964
Red_p50,0.42011118,0.06335073,0.008123318,0.0,0.01164623,0.0,0.50323147
NIR_p50,0.0033441894,0.03348214,0.0093738595,0.0,0.4183166,0.0006822177,0.465199
BSI_max,0.36362043,0.031390037,0.006134439,0.004577882,0.0,0.00053708383,0.4062599
BSI_min,0.0039232443,0.0030718923,0.024495328,0.0,0.26941878,0.07003232,0.37094158
SWIR2_p25,0.039541427,0.0012937238,0.0042440332,0.0,0.015286845,0.23184136,0.2922074
Red_p75,0.24723956,0.0,0.004953965,0.0,0.002939154,0.0032268432,0.25835952
NDVI_mean,0.030707827,0.006709003,0.19578157,0.0,0.0,0.005394561,0.23859297
NDVI_stdDev,0.0045183343,0.0047062165,0.16743545,0.0,0.0,0.05934114,0.23600113
Green_p90,0.0060133864,0.17621537,0.0060461476,0.037519053,0.0016584756,0.0061320164,0.23358445
BLFEI_max,0.0,0.119300865,0.0024853966,0.0010925375,0.0,0.1085058,0.2313846
TWI,0.001357768,0.006291128,0.024093466,0.084776245,0.05476696,0.008230842,0.1795164
NIR_p10,0.0073737744,0.0017416438,0.018925665,0.003050704,0.10907317,0.014823668,0.15498862
NBR_max,0.0025730473,0.0031851658,0.0015927578,0.0,0.0156814,0.12069935,0.14373173
SWIR1_p10,0.0,0.09135591,0.010876611,0.0,0.027383996,0.004215082,0.13383159
Green_p25,0.01705931,0.014199971,0.010982136,0.008085363,0.030852843,0.052601486,0.1337811
NBR_min,0.115752116,0.0033229399,0.0010406218,0.008721724,0.0,0.0027092043,0.13154662
Green_p10,0.011606421,0.031753,0.01542064,0.048724506,0.0031720286,0.016386097,0.12706268
Red_p10,0.00069010013,0.03756669,0.002960703,0.0,0.0,0.08204834,0.12326583
HAND,0.0015281352,0.019035915,0.0073401197,0.010784104,0.068464346,0.014501021,0.12165364
elevation,0.008794562,0.03229983,0.0124718025,0.0,0.012783233,0.04595303,0.11230247
SWIR2_p75,0.00030760907,0.028461332,0.0011896839,0.0,0.014912274,0.06321825,0.10808915
SWIR2_p50,0.0,0.016701164,0.001687308,0.0,0.08000487,0.0074280947,0.10582144
NDWI_max,0.07845516,0.0,0.0015265569,0.0,0.015597469,0.0027602129,0.098339394
Red_p25,0.064832374,0.026751658,0.0024425513,0.0,0.0,0.0039391555,0.09796575
NIR_p90,0.0054275575,0.019304916,0.005236725,0.0,0.053317912,0.013531569,0.096818686
NDVI_min,0.043275185,0.018859422,0.026640259,0.0,0.0,0.0053854464,0.09416031
BSI_stdDev,0.0058611715,0.022840708,0.035490382,0.0032284153,0.0,0.018544309,0.08596499
NDBI_min,0.00028700678,0.0010692072,0.017300328,0.0,0.001196346,0.0589642,0.078817084
BCI_max,0.004976436,0.021167297,0.008138119,0.015840353,0.0,0.024436494,0.074558705
BLFEI_stdDev,0.00064763345,0.0056430777,0.05772647,0.0,0.0018243864,0.008602593,0.07444416
NIR_p25,0.009629883,0.01042182,0.0144036,0.0,0.030849474,0.008396617,0.0737014
NBR_mean,0.015703496,0.016320707,0.037129004,0.0,0.0,0.0018613517,0.07101455
NDWI_min,0.0,0.00548188,0.0056764046,0.0,0.0487032,0.010705581,0.070567064
MNDWI_max,0.00055390294,0.029611392,0.015003815,0.01051568,0.012555534,0.0013925827,0.0696329
NDVI_max,0.0028214387,0.014208623,0.0026058017,0.001757568,0.04088507,0.005109832,0.06738833
MNDWI_mean,0.007761052,0.0072485916,0.010300868,0.020717017,0.0,0.020612782,0.06664031
SWIR2_p90,0.0017611892,0.0,0.0019570175,0.0,0.057242215,0.0055765356,0.066536956
Brightness_max,0.023585293,0.013464868,0.005120821,0.00917352,0.0034451184,0.005914108,0.06070373
Green_p75,0.025027227,0.03189746,0.00027828902,0.0,0.0,0.0018138223,0.059016798
